anio,flujo,grano,socio_cod,cap_cod,valor_usd
2014,Importacion,capitulo,,59,21504358.0
2014,Importacion,capitulo,,61,121879001.0
2014,Importacion,capitulo,,62,154357071.0
2014,Importacion,capitulo,,63,59721291.0
2014,Importacion,capitulo,,65,9635492.0
2014,Importacion,capitulo,,66,4485361.0
2014,Importacion,capitulo,,60,12006664.0
2014,Importacion,capitulo,,67,2465623.0
2014,Importacion,capitulo,,68,58257310.0
2014,Importacion,capitulo,,69,89243972.0
2014,Importacion,capitulo,,70,59912642.0
2014,Importacion,capitulo,,72,480414258.0
2014,Importacion,capitulo,,82,85680214.0
2014,Importacion,capitulo,,73,440534269.0
2014,Importacion,capitulo,,75,7089878.0
2014,Importacion,capitulo,,76,142473577.0
2014,Importacion,capitulo,,78,494421.0
2014,Importacion,capitulo,,79,16476738.0
2014,Importacion,capitulo,,80,421229.0
2014,Importacion,capitulo,,81,19791758.0
2014,Importacion,capitulo,,83,98267322.0
2014,Importacion,capitulo,,71,61806605.0
2014,Importacion,capitulo,,74,148261267.0
2014,Importacion,capitulo,,87,1049448140.0
2014,Importacion,capitulo,,88,21499038.0
2014,Importacion,capitulo,,89,5127009.0
2014,Importacion,capitulo,,90,453558333.0
2014,Importacion,capitulo,,91,13960287.0
2014,Importacion,capitulo,,92,5573749.0
2014,Importacion,capitulo,,86,161293730.0
2014,Importacion,capitulo,,95,93129607.0
2014,Importacion,capitulo,,96,74159360.0
2014,Importacion,capitulo,,97,521737.0
2014,Importacion,capitulo,,93,3589552.0
2014,Importacion,capitulo,,94,178543835.0
2014,Importacion,capitulo,,39,1198127194.0
2014,Importacion,capitulo,,85,2829494990.0
2014,Importacion,capitulo,,84,1433613080.0
2015,Exportacion,capitulo,,90,2219020536.0
2015,Exportacion,capitulo,,16,56564294.0
2015,Exportacion,capitulo,,5,4024329.0
2015,Exportacion,capitulo,,6,147548125.0
2015,Exportacion,capitulo,,7,145761662.0
2015,Exportacion,capitulo,,8,1822627637.0
2015,Exportacion,capitulo,,1,6989948.0
2015,Exportacion,capitulo,,9,313923905.0
2015,Exportacion,capitulo,,10,2165202.0
2015,Exportacion,capitulo,,13,4032043.0
2015,Exportacion,capitulo,,14,164317.0
2015,Exportacion,capitulo,,4,126593962.0
2015,Exportacion,capitulo,,17,107853426.0
2015,Exportacion,capitulo,,18,10762912.0
2015,Exportacion,capitulo,,19,112602034.0
2015,Exportacion,capitulo,,20,353915371.0
2015,Exportacion,capitulo,,21,510607914.0
2015,Exportacion,capitulo,,22,82452651.0
2015,Exportacion,capitulo,,23,53924985.0
2015,Exportacion,capitulo,,24,15201791.0
2015,Exportacion,capitulo,,25,26575945.0
2015,Exportacion,capitulo,,11,16914253.0
2015,Exportacion,capitulo,,12,18002970.0
2015,Exportacion,capitulo,,2,88768832.0
2015,Exportacion,capitulo,,3,100122259.0
2015,Exportacion,capitulo,,15,150184277.0
2015,Exportacion,capitulo,,28,15236683.0
2015,Exportacion,capitulo,,29,4971592.0
2015,Exportacion,capitulo,,30,255976773.0
2015,Exportacion,capitulo,,26,29821.0
2015,Exportacion,capitulo,,27,3666143.0
2015,Exportacion,capitulo,,32,77491768.0
