anio,flujo,cap_cod,capitulo,valor_usd
2011,Exportacion,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",33127047.0
2011,Exportacion,26,"Ores, slag and ash",3641.0
2011,Exportacion,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",33261063.0
2011,Exportacion,29,Organic chemicals,5257695.0
2011,Exportacion,20,"Preparations of vegetables, fruit, nuts or other parts of plants",255521443.0
2011,Exportacion,30,Pharmaceutical products,324108421.0
2011,Exportacion,31,Fertilizers,36323697.0
2011,Exportacion,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",57914734.0
2011,Exportacion,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",9309630.0
2011,Exportacion,41,Raw hides and skins (other than furskins) and leather,27371065.0
2011,Exportacion,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",17523255.0
2011,Exportacion,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",7312259.0
2011,Exportacion,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",39753835.0
2011,Exportacion,35,Albuminoidal substances; modified starches; glues; enzymes,17936045.0
2011,Exportacion,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,8400221.0
2011,Exportacion,37,Photographic or cinematographic goods,582307.0
2011,Exportacion,38,Chemical products n.e.c.,122789096.0
2011,Exportacion,39,Plastics and articles thereof,323217094.0
2011,Exportacion,40,Rubber and articles thereof,240343630.0
2011,Exportacion,43,Furskins and artificial fur; manufactures thereof,38917.0
2011,Exportacion,44,Wood and articles of wood; wood charcoal,73551759.0
2011,Exportacion,45,Cork and articles of cork,84.0
2011,Exportacion,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",21777.0
2011,Exportacion,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,15233758.0
2011,Exportacion,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",207040973.0
2011,Exportacion,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",18468125.0
2011,Exportacion,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",10.0
2011,Exportacion,52,Cotton,753228.0
2011,Exportacion,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,10646.0
2011,Exportacion,54,Man-made filaments; strip and the like of man-made textile materials,18651476.0
2011,Exportacion,55,Man-made staple fibres,1491139.0
2011,Exportacion,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",16934286.0
2011,Exportacion,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",48629.0
2011,Exportacion,57,Carpets and other textile floor coverings,30425.0
2011,Exportacion,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",1923947.0
2011,Exportacion,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",3273932.0
2011,Exportacion,60,Fabrics; knitted or crocheted,1429949.0
2011,Exportacion,61,Apparel and clothing accessories; knitted or crocheted,43614470.0
2011,Exportacion,62,Apparel and clothing accessories; not knitted or crocheted,127338304.0
2011,Exportacion,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",5200345.0
2011,Exportacion,64,Footwear; gaiters and the like; parts of such articles,1327387.0
2011,Exportacion,65,Headgear and parts thereof,259381.0
2011,Exportacion,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",58737.0
2011,Exportacion,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",16750192.0
2011,Exportacion,69,Ceramic products,11066710.0
2011,Exportacion,70,Glass and glassware,73711197.0
2011,Exportacion,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",89279842.0
2011,Exportacion,72,Iron and steel,146020843.0
2011,Exportacion,73,Iron or steel articles,109806034.0
2011,Exportacion,74,Copper and articles thereof,27232067.0
2011,Exportacion,75,Nickel and articles thereof,4673.0
2011,Exportacion,76,Aluminium and articles thereof,85093895.0
2011,Exportacion,78,Lead and articles thereof,4035955.0
2011,Exportacion,79,Zinc and articles thereof,1149898.0
2011,Exportacion,80,Tin; articles thereof,32118.0
2011,Exportacion,81,"Metals; n.e.c., cermets and articles thereof",390165.0
2011,Exportacion,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",2164608.0
2011,Exportacion,83,Metal; miscellaneous products of base metal,28469101.0
2011,Exportacion,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",172247680.0
2011,Exportacion,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2479941350.0
2011,Exportacion,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",13109692.0
2011,Exportacion,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",51438854.0
2011,Exportacion,88,"Aircraft, spacecraft, and parts thereof",8342119.0
2011,Exportacion,89,"Ships, boats and floating structures",1978760.0
2011,Exportacion,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",1197690656.0
2011,Exportacion,91,Clocks and watches and parts thereof,149857.0
2011,Exportacion,92,Musical instruments; parts and accessories of such articles,178502.0
2011,Exportacion,93,Arms and ammunition; parts and accessories thereof,336.0
2011,Exportacion,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",41038638.0
2011,Exportacion,95,"Toys, games and sports requisites; parts and accessories thereof",20606744.0
2011,Exportacion,96,Miscellaneous manufactured articles,10930859.0
2011,Exportacion,97,Works of art; collectors' pieces and antiques,315315.0
2011,Importacion,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",56785560.0
2011,Importacion,09,"Coffee, tea, mate and spices",42237912.0
2011,Importacion,08,"Fruit and nuts, edible; peel of citrus fruit or melons",117912148.0
2011,Importacion,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",146170960.0
2011,Importacion,10,Cereals,316590106.0
2011,Importacion,16,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",30750891.0
2011,Importacion,07,Vegetables and certain roots and tubers; edible,60456091.0
2011,Importacion,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",15113213.0
2011,Importacion,05,Animal originated products; not elsewhere specified or included,4260418.0
2011,Importacion,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",30900116.0
2011,Importacion,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",52488884.0
2011,Importacion,02,Meat and edible meat offal,37715315.0
2011,Importacion,01,Animals; live,8565582.0
2011,Importacion,18,Cocoa and cocoa preparations,30663335.0
2011,Importacion,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",117027005.0
2011,Importacion,20,"Preparations of vegetables, fruit, nuts or other parts of plants",122304037.0
2011,Importacion,13,"Lac; gums, resins and other vegetable saps and extracts",6477921.0
2011,Importacion,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,353824.0
2011,Importacion,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",63236519.0
2011,Importacion,21,Miscellaneous edible preparations,161387766.0
2011,Importacion,17,Sugars and sugar confectionery,33452834.0
2011,Importacion,22,"Beverages, spirits and vinegar",81795968.0
2011,Importacion,23,"Food industries, residues and wastes thereof; prepared animal fodder",92575584.0
2011,Importacion,24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",18533860.0
2011,Importacion,25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",39690157.0
2011,Importacion,26,"Ores, slag and ash",316609.0
2011,Importacion,28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",94981905.0
2011,Importacion,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2298759960.0
2011,Importacion,29,Organic chemicals,201020467.0
2011,Importacion,30,Pharmaceutical products,568612017.0
2011,Importacion,31,Fertilizers,242569210.0
2011,Importacion,32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",90071781.0
2011,Importacion,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",166110815.0
2011,Importacion,34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",105982721.0
2011,Importacion,35,Albuminoidal substances; modified starches; glues; enzymes,41804780.0
2011,Importacion,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,3430262.0
2011,Importacion,37,Photographic or cinematographic goods,11764205.0
2011,Importacion,38,Chemical products n.e.c.,266038163.0
2011,Importacion,39,Plastics and articles thereof,1130182219.0
2011,Importacion,40,Rubber and articles thereof,249810545.0
2011,Importacion,41,Raw hides and skins (other than furskins) and leather,28042642.0
2011,Importacion,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",31058285.0
